,Tournament,Draw ,Prize money,W Real Points,F,SF,QF,R16,R32,R64,R128,RankingsOpponents,W ATP Calc Points
0,Roland Garros,128,1645000,350,,,,,,,,"113,96,25,30,15,11,14",437
1,US Open,128,1683333,350,,,,,,,,"159,22,34,36,21,33,1",422
2,Wimbledon,128,1815396,350,,,,,,,,"31,72,94,153,90,7,8",411
3,Australian Open,128,699984,250,,,,,,,,"80,120,54,86,15,2,7",332
4,Miami,128,734000,250,,,,,,,,"219,104,92,56,46,11,6",306
5,Paris,32,810000,210,,,,,,,,"0,38,20,25,23",256
6,Rome,64,595000,200,,,,,,,,"123,55,47,65,11,26",245
7,Cincinnati,64,410000,180,,,,,,,,"108,190,163,235,23,4",223
8,Forest Hills,64,485000,180,,,,,,,,"145,153,154,110,29,31",200
9,Indian Wells,56,510000,180,,,,,,,,"65,31,54,17,18",224
10,Hamburg,56,400000,170,,,,,,,,"64,57,30,53,20",207
11,Stockholm,56,450000,170,,,,,,,,"154,44,51,36,100",187
12,Stratton Mountain,64,400000,170,,,,,,,,"157,105,62,36,42,48",192
13,Tokyo Outdooor,56,425000,170,,,,,,,,"167,143,271,10,3",225
14,Canada,56,410000,160,,,,,,,,"57,36,59,6,29",208
15,Philadelphia,48,410000,160,,,,,,,,"149,52,46,28,57",185
16,Barcelona,56,372500,140,,,,,,,,"155,73,38,59,21",164
17,Boston,56,297500,140,103.0,,,,,,,"111,147,6,102,82",172
18,Indianapolis,56,297500,140,,,,,,,,"84,181,98,93,17",162
19,Johannesburg,32,297500,140,,,,,,,,"74,117,209,19,52",163
20,Monte Carlo,48,492500,140,,,,,,,,"92,62,19,8,15",205
21,Queen's,64,340000,140,,,,,,,,"295,148,193,45,66,3",180
22,Tokyo Indoor,32,500000,140,,,,,,,,"48,74,62,64,32",161
23,Kitzbühel,64,240000,130,,,,,,,,"165,113,73,81,15,20",172
24,Sydney Indoor,32,372500,130,,,,,,,,"412,82,154,21,136",145
25,Washington D.C.,56,297500,130,,,,,,,,"165,68,37,23,19",167
26,Brussels,32,372500,120,,,,,,,,"77,119,44,28,9",165
27,Memphis,48,297500,120,,,,,,,,"98,46,20,38,39",156
28,Milan,32,372500,120,,,,,,,,"100,140,7,4,6",201
29,Detroit,32,297500,110,,,,,,,,"186,181,55,173,20",129
30,Los Angeles,32,297500,110,,,,,,,,"79,110,62,22,4",158
31,Orlando,32,297500,110,,,,,,,,"36,9,26,70,7",179
32,Rotterdam,32,325000,110,,,,,,,,"198,52,58,40,6",146
33,San Francisco,32,297500,110,,,,,,,,"55,29,24,231,64",140
34,Scottsdale,32,297500,110,,,,,,,,"127,62,116,23,206",127
35,Stuttgart Outdoor,48,275000,110,,,,,,,,"86,39,14,12,20",174
36,Wembley,32,335000,110,,,,,,,,"61,37,24,12,25",163
37,Bastad,48,215000,100,,,,,,,,"177,232,23,207,129",113
38,Basel,32,240000,90,,,,,,,,"152,34,31,18,27",130
39,Bordeaux,32,215000,90,,,,,,,,"118,104,33,64,31",107
40,Gstaad,32,240000,90,,,,,,,,"445,38,15,75,43",125
41,Itaparica,32,275000,90,,,,,,,,"463,54,15,49,132",120
42,Lyon,32,240000,90,,,,,,,,"29,103,82,186,119",106
43,Munich,48,165000,90,,,,,,,,"78,40,20,89,23",128
44,Toulouse,32,240000,90,,,,,,,,"71,110,39,25,17",128
45,Charleston,32,190000,80,,,,,,,,"87,241,66,134,122",87
46,Geneva,32,190000,80,,,,,,,,"13,133,147,70,6",129
47,Brisbane,32,165000,70,,,,,,,,"119,134,80,156,132",75
48,Frankfurt,32,140000,70,,,,,,,,"171,153,70,56,136",77
49,Hilversum,32,150000,70,,,,,,,,"130,202,63,51,14",97
50,Nice,32,115000,70,,,,,,,,"229,68,47,17,122",96
51,Prague,32,140000,70,,,,,,,,"486,241,54,80,14",95
52,St. Vincent,32,125000,70,,,,,,,,"189,120,114,49,166",78
53,Vienna,32,140000,70,,,,,,,,"63,61,14,16,13",132
54,Athens,32,93400,60,,,,,,,,"198,220,160,110,98",63
55,Madrid,32,93400,60,,,,,,,,"354,87,113,97,182",65
56,Metz,32,93400,60,,,,,,,,"140,139,114,43,34",75
57,Newport,32,115000,60,,,,,,,,"212,187,68,305,172",63
58,São Paulo,32,100000,60,,,,,,,,"140,157,116,93,59",67
59,Seoul,32,93400,60,,,,,,,,"114,179,44,39,144",74
60,Tel Aviv,32,95000,60,,,,,,,,"667,221,137,27,19",89
61,Wellington,32,115000,60,,,,,,,,"104,158,152,36,52",70
62,Adelaide,32,93400,50,,,,,,,,"535,142,215,295,35",57
63,Auckland,32,93400,50,,,,,,,,"252,85,49,118,47",65
64,Bari,32,93400,50,,,,,,,,"198,155,156,55,47",59
65,Bristol,32,93400,50,,,,,,,,"162,79,104,109,42",60
66,Buenos Aires,32,93400,50,,,,,,,,"110,246,32,142,21",70
67,Florence,32,93400,50,,,,,,,,"133,164,56,138,253",55
68,Guaruja,32,93400,50,,,,,,,,"631,684,125,250,22",63
69,Livingston,32,93400,50,,,,,,,,"291,150,141,78,251",54
70,Palermo,32,93400,50,,,,,,,,"314,86,183,14,6",96
71,Rye Brook,32,93400,50,,,,,,,,"125,159,91,137,38",60
72,Schenectady,32,93400,50,,,,,,,,"374,289,203,286,73",53
73,Sydney Outdoor,32,93400,50,,,,,,,,"280,144,145,100,40",60
74,Bologna,32,93400,30,,,,,,,,"187,106,127,11,16",68
